0,36,32,28,24
0,0,0,0,0
4,32.5,35.3,17.7,13.2
8,52.1,53.3,27.3,21.3
12,74.0,55.7,34.5,24.6
16,76.5,58.0,36.4,27.7
20,80.8,60.6,35.1,27.8
24,78.0,63.1,32.4,27.2
28,81.1,60.0,32.4,23.5
32,71.1,64.4,29.2,21.7
36,59.8,49.5,26.9,18.8
